单词,English,Arabic
垃圾桶（四级）,trash can,صندوق قمامة
拉（四级）,pull,سحب
辣（四级）,spicy,حار
来不及（四级）,too late,متأخر جداً
来得及（四级）,in time,بعد فوات الأوان
来自（四级）,from,من
懒（四级）,lazy,كسول
浪费（四级）,waste,مبذر
浪漫（四级）,romantic,رومانسي
老虎（四级）,tiger,نمر
冷静（四级）,calm down,هادئ
礼拜天（四级）,sunday,الأحد
礼貌（四级）,polite,الأخلاق
理发（四级）,haircut,قص الشعر
理解（四级）,understand,التفاهم
理想（四级）,ideal,المثالية
力气（四级）,strength,القوة
厉害（四级）,awesome,مدهش
例如（四级）,for example,على سبيل المثال
俩（四级）,two,اثنان
连（四级）,even,حتى
联系（四级）,contact,اتصال
凉快（四级）,cool,بارد
零钱（四级）,change,تغيير (المال)
另外（四级）,in addition,بالإضافة إلى ذلك
留（四级）,stay,البقاء
流利（四级）,fluent,بطلاقة
流行（四级）,popular,شعبية
旅行（四级）,travel,السفر
律师（四级）,lawyer,المحاماة
乱（四级）,messy,فوضوي
麻烦（四级）,trouble,متاعب
马虎（四级）,sloppy,مهمل
满（四级）,full,كامل
毛（四级）,gross,فرو
毛巾（四级）,towel,منشفة
美丽（四级）,beautiful,جميل
梦（四级）,dream,حلم
迷路（四级）,get lost,ضائع
密码（四级）,password,كلمة السر
免费（四级）,free,مجاناً
秒（四级）,second,ثواني
民族（四级）,nation,أمة
母亲（四级）,mother,الأم
目的（四级）,purpose,الغرض
耐心（四级）,patience,الصبر
难道（四级）,could it be that,هل يمكن
难受（四级）,uncomfortable,غير مريح
内（四级）,inside,في الداخل
内容（四级）,content,المحتوى
能力（四级）,ability,القدرة
年龄（四级）,age,العمر
弄（四级）,get,حاره
暖和（四级）,warm,دافئ
偶尔（四级）,occasionally,من حين لآخر
排队（四级）,queue up,الطابور
排列（四级）,align,الترتيب
判断（四级）,judge,الحكم
陪（四级）,accompany,مرافقة
批评（四级）,criticize,انتقد
皮肤（四级）,skin,الجلد
脾气（四级）,temper,المزاج
篇（四级）,piece,قطعة
骗（四级）,cheat,الكذب
乒乓球（四级）,table tennis,تنس الطاولة
平时（四级）,usually,المعتاد
破（四级）,broken,مكسورة
葡萄（四级）,grape,عنب
普遍（四级）,universal,شائع
普通话（四级）,mandarin,الماندرين
其次（四级）,secondly,الثاني
其中（四级）,in,بين
气候（四级）,climate,المناخ
千万（四级）,ten million,عشرة ملايين
签证（四级）,visa,فيزا
敲（四级）,knock,طرق
桥（四级）,bridge,الجسر
巧克力（四级）,chocolate,الشوكولاتة
亲戚（四级）,relative,الأقارب
轻（四级）,light,الضوء
轻松（四级）,easy,سهولة
情况（四级）,situation,الوضع
穷（四级）,poor,فقير
区别（四级）,difference,اختلاف
取（四级）,take,خذ
全部（四级）,all,الكل
缺点（四级）,disadvantage,أوجه القصور
缺少（四级）,lack,نقص
却（四级）,but,ولكن
确实（四级）,it certainly is.,في الواقع
然而（四级）,however,ومع ذلك
热闹（四级）,lively,حيوية
任何（四级）,any,أي
任务（四级）,task,مهمة
扔（四级）,throw,رمي
仍然（四级）,still,لا تزال
日记（四级）,diary,مذكرات
入口（四级）,entrance,المدخل
散步（四级）,take a walk,المشي
森林（四级）,forest,الغابة
沙发（四级）,sofa,الأريكة
伤心（四级）,sad,الحزن
商量（四级）,discuss,المناقشة
稍微（四级）,slightly,قليلا
勺子（四级）,spoon,ملعقة
社会（四级）,society,اجتماعي
申请（四级）,apply,تطبيق
深（四级）,deep,عميق
甚至（四级）,even,حتى
生活（四级）,life,الحياة
生命（四级）,life,الحياة
生意（四级）,business,الأعمال
省（四级）,province,مقاطعه
剩（四级）,left,المتبقي
失败（四级）,fail,الفشل
失望（四级）,disappointed,خيبة الأمل
师傅（四级）,master,سيد
十分（四级）,ten,عشرة نقاط
实际（四级）,actual,الفعلي
实在（四级）,real,حقيقي
使（四级）,make,صنع
使用（四级）,use,الاستخدام
世纪（四级）,century,القرن
是否（四级）,whether,ما إذا كان
适合（四级）,fit,ملائم
适应（四级）,adapt,التكيف
收（四级）,receive,الاستلام
收入（四级）,income,الدخل
收拾（四级）,clean up,التعبئة
首都（四级）,capital,رأس المال
首先（四级）,first,أولاً
受不了（四级）,can't stand it,لا يمكن تحمله
受到（四级）,receive,المستلم
售货员（四级）,salesperson,البائع
输（四级）,lose,الخسارة
熟悉（四级）,familiar,مألوف
数量（四级）,quantity,الكمية
数字（四级）,number,الأرقام
帅（四级）,handsome,وسيم
顺便（四级）,by the way,بالمناسبه
顺利（四级）,smooth,السلس
顺序（四级）,order,تسلسل
说明（四级）,explain,الوصف
硕士（四级）,master,ماحستير
死（四级）,die,ميت
速度（四级）,speed,السرعة
塑料袋（四级）,plastic bag,كيس بلاستيك
酸（四级）,acid,حمض
随便（四级）,whatever.,ايا يكن
随着（四级）,with,بمرور
孙子（四级）,grandson,الأحفاد
所有（四级）,all,الكل
台（四级）,platform,كلمة قياس لتحديد بعض الاجهزه
抬（四级）,lift,الرفع
态度（四级）,attitude,الموقف
谈（四级）,talk,التحدث
弹钢琴（四级）,play the piano,العزف على البيانو
汤（四级）,soup,الحساء
糖（四级）,sugar,السكر
躺（四级）,lie down,استلقاء
趟（四级）,trip,لفظة كميه
讨论（四级）,discuss,المناقشة
讨厌（四级）,hate,الكراهة
特点（四级）,feature,الميزات
提（四级）,mention,حمل
提供（四级）,provide,عرض
提前（四级）,advance,في وقت مبكر
提醒（四级）,remind,تذكير
填空（四级）,fill in the blanks,املأ الفراغات
条件（四级）,condition,الشرط
停（四级）,stop,توقف
挺（四级）,quite,تماماً
通过（四级）,passed,استقامه
通知（四级）,notify,الإخطار
同情（四级）,compassion,التعاطف
同时（四级）,at the same time,في نفس الوقت
推（四级）,push,الدفع
推迟（四级）,postpone,تأجيل
脱（四级）,take off,خلع
袜子（四级）,socks,الجوارب
完全（四级）,complete,بالكامل
网球（四级）,tennis,التنس
网站（四级）,website,المواقع
往往（四级）,often,في كثير من الأحيان
危险（四级）,danger,خطرة
卫生间（四级）,toilet,المرحاض
味道（四级）,taste,الرائحة
温度（四级）,temperature,درجة الحرارة
文章（四级）,article,المادة
污染（四级）,pollution,التلوث
无（四级）,without,لا يوجد
无聊（四级）,boring,الملل
无论（四级）,no matter what,مهما يكن
误会（四级）,misunderstanding,سوء الفهم
西红柿（四级）,tomato,الطماطم
吸引（四级）,attract,جذاب
咸（四级）,salty,ملح
现金（四级）,cash,نقدي
羡慕（四级）,envy,الحسد
相反（四级）,on the contrary.,معاكس
相同（四级）,same,نفس الشيء
香（四级）,incense,رائحه
详细（四级）,detail,مفصل
响（四级）,ring,صاخب
橡皮（四级）,eraser,ممحاة
消息（四级）,message,الأخبار
小吃（四级）,snack,وجبة خفيفة
小伙子（四级）,lad,شاب
小说（四级）,novel,رواية
笑话（四级）,joke,نكتة
效果（四级）,effect,التأثير
心情（四级）,mood,المزاج
辛苦（四级）,hard,العمل الشاق
信封（四级）,envelope,المغلف
信息（四级）,information,المعلومات
信心（四级）,confidence,الثقة
兴奋（四级）,excited,الإثارة
行（四级）,ok,يمكن
醒（四级）,wake up,استيقظ
幸福（四级）,happiness,السعادة
性别（四级）,gender,الجنس
性格（四级）,character,الشخصية
修理（四级）,repair,الإصلاح
许多（四级）,many,الكثير
学期（四级）,semester,الفصل الدراسي
压力（四级）,pressure,الإجهاد
呀（四级）,yeah.,كلمه تعبير عن المفاجأه
牙膏（四级）,toothpaste,معجون الأسنان
亚洲（四级）,asia,آسيوي
严格（四级）,strict,صارم
严重（四级）,serious,الجدية
研究（四级）,research,البحث
盐（四级）,salt,ملح
眼镜（四级）,glasses,النظارات
演出（四级）,performance,العروض
演员（四级）,actor,الممثلون
阳光（四级）,sunshine,أشعة الشمس
养成（四级）,develop,نرتقي
样子（四级）,look,مظهر
邀请（四级）,invite,دعوة
要是（四级）,if,إذا
钥匙（四级）,key,المفتاح
也许（四级）,maybe.,ربما
叶子（四级）,leaf,ورقة
页（四级）,page,الصفحة
一切（四级）,everything,كل شيء
以（四级）,with,مع
以为（四级）,think,اعتقاد
艺术（四级）,art,الفن
意见（四级）,opinion,الرأي
因此（四级）,therefore,لذلك
引起（四级）,cause,السبب
印象（四级）,impression,الانطباع
赢（四级）,win,الفوز
应聘（四级）,apply,التقدم لوظيفة
永远（四级）,forever,إلى الأبد
勇敢（四级）,brave,شجاع
优点（四级）,advantage,المزايا
优秀（四级）,excellent,ممتاز
幽默（四级）,humor,الفكاهة
尤其（四级）,in particular,خاصة
由（四级）,by,سبب
由于（四级）,due to,بفضل
邮局（四级）,post office,مكتب البريد
友好（四级）,friendly,صديق مقرب
友谊（四级）,friendship,صداقه
有趣（四级）,interesting,مثير للاهتمام
于是（四级）,therefore,وبالتالي
愉快（四级）,happy,سعيد
与（四级）,with,مع
羽毛球（四级）,badminton,كرة الريشة
语法（四级）,grammar,قواعد اللغة
语言（四级）,language,اللغة
预习（四级）,preview,الاستعداد
原来（四级）,original,الأصل
原谅（四级）,forgive,المسامحة
原因（四级）,reason,السبب
约会（四级）,dating,المواعدة
阅读（四级）,read,القراءة
云（四级）,cloud,السحابة
允许（四级）,allow,السماح
杂志（四级）,magazine,مجلة
咱们（四级）,we,نحن
暂时（四级）,temporarily,مؤقتاً
脏（四级）,dirty,قذرة
责任（四级）,responsibility,المسؤولية
增加（四级）,increase,الزيادة
占线（四级）,busy,الإشغال
招聘（四级）,recruitment,التوظيف
